Brand Name,Generic Name,Manufactor Name,Total Spending 2016,Total Units 2016,Total Spending 2017,Total Units 2017,Total Spending 2018,Total Units 2018,Total Spending 2019,Total Units 2019,Total Spending 2020,Total Units 2020
CyproHEPtadine HCl,CyproHEPtadine HCl,Westminster Pha,,,,,,,,,80126.6,162032
CyproHEPtadine HCl,CyproHEPtadine HCl,Vistapharm,,,,,,,8677.5,86935,50940.6,539361
CyproHEPtadine HCl,CyproHEPtadine HCl,"Trupharma, LLC.",,,718741.85,1157990,1306204.66,2303255.5,1308372.14,2485945,1126993.65,2151100.1
CyproHEPtadine HCl,CyproHEPtadine HCl,Rising Pharm,66943.91,637226,124514.48,1182976,159283.1,1606971,182050.42,1874045,126443.86,1328227
CyproHEPtadine HCl,CyproHEPtadine HCl,Quagen Pharmace,,,,,,,,,44308.08,456489
CyproHEPtadine HCl,CyproHEPtadine HCl,Patrin Pharma,,,15203.18,136103,65238.51,650633,27221.96,280338,4362.15,49146
CyproHEPtadine HCl,CyproHEPtadine HCl,Strides Pharma,,,,,16558.6,31623,340428.1,687420,593892.72,1189775.39
CyproHEPtadine HCl,CyproHEPtadine HCl,Marlex Pharm.,,,,,7067.61,17179,27369.87,74784.5,23075.29,62686
CyproHEPtadine HCl,CyproHEPtadine HCl,Lannett Co. Inc,,,,,,,1762.66,19091,22975.52,252795
CyproHEPtadine HCl,CyproHEPtadine HCl,Zydus Pharmaceu,,,5857.37,9387,836956.81,1424821,867080.17,1687796.25,1112955.76,2144759.5
CyproHEPtadine HCl,CyproHEPtadine HCl,Ingenus Pharmac,622491.28,1047690.5,1606963.08,2594012.5,1411479.37,2466021.14,1084602.43,2339004.5,1021631,2425658.5
CyproHEPtadine HCl,CyproHEPtadine HCl,Dash Pharmaceut,,,33708.93,49730,151765.89,258353,41034.92,83631,8518.88,16046
CyproHEPtadine HCl,CyproHEPtadine HCl,Corepharma LLC,841896.28,1399962,874372.46,1458802,644806.51,1035450,18013.48,31749,396.1,562
CyproHEPtadine HCl,CyproHEPtadine HCl,Breckenridge,3640834.89,5899040.95,4092743.03,6263907.5,2885403.98,4687766.21,2249097.28,3996231,2122697.75,3712158.5
CyproHEPtadine HCl,CyproHEPtadine HCl,Avkare,1613.48,2498,2727.47,3669,1431.41,2130,970.97,1244,451.16,614
CyproHEPtadine HCl,CyproHEPtadine HCl,"Apnar Pharma, L",,,,,3075.14,6302,65770.19,164056,106966.09,308818
CyproHEPtadine HCl,CyproHEPtadine HCl,Amneal Pharmace,,,,,210818.61,340300,788264.66,1334981,907360.75,1578745.5
Cyramza,Ramucirumab,Eli Lilly & Co.,2482636.4,22960,2368992.34,20960,1373285.03,11940,2992343.37,25050,2738812.51,21750
Cyred Eq,Desogestrel-Ethinyl Estradiol,"Afaxys, Inc.",,,,,,,1717.88,2380,2264.6,3108
Cystadane,Betaine,Orphan Europe/R,,,1504340.94,181260,2612131.4,306000,3248891.43,366660,3490250.29,377280
Cystadrops,Cysteamine HCl,Recordati Rare,,,,,,,,,166225.85,455
Cystagon,Cysteamine Bitartrate,Mylan,62900.32,74058,51878.64,66360,63147.75,85620,65839.87,81752,65489.43,77592
Cystaran,Cysteamine HCl,Leadiant Biosci,2120201.25,23895,2693996.96,26220,3041843.61,28905,3096880.53,28590,2425528.05,22020
Cytarabine,Cytarabine,Hospira/Pfizer,1219.07,1979,802.81,1270,961.42,1561.9,583.85,950.1,912.9,1457.36
Cytarabine,Cytarabine/PF,Mylan Instituti,,,,,,,,,1409.79,1555
Cytarabine,Cytarabine/PF,Meitheal Pharma,,,,,,,,,1788.11,2240
Cytarabine,Cytarabine/PF,Hospira/Pfizer,3138.5,3315.1,4729.28,4996.72,3804.39,3265.46,8184.57,8490.97,8982.12,8973.31
Cytarabine,Cytarabine/PF,App/Fresenius K,684.44,744,,,1758.67,2704.6,656.66,644,1460.39,1460.6
Cytogam,Cytomegalovirus Immune Globuln,CSL/Saol Thera,367367.14,13904,144296.23,5450,225538.1,8400,206383.73,7800,347316.35,12000
Cytomel,Liothyronine Sodium,Pfizer US Pharm,2431199.06,1619640,2895235.84,1629756,2995743.29,1502390,2795294.37,1418345,2745206.25,1385885
Cytotec,Misoprostol,Pharmaci/Pfizer,54757.04,14937,59937.12,14026,59228.43,12045,59205.21,11613,35952.67,7296
Cytra-K,Potassium Citrate/Citric Acid,Cypress Pharm.,,,764.94,1388,1851.56,2000,17398.21,14423,1104.51,873
Dacarbazine,Dacarbazine,Teva Parenteral,2989.45,212,1900.27,131,3541.06,256,1668.63,136,1469.4,102
Dacarbazine,Dacarbazine,App/Fresenius K,1460.65,143,,,938.2,104,3410.83,354,1983.87,187
Dalfampridine ER,Dalfampridine,Mylan,,,,,8181762.51,275465,2535979.11,166962,799146.85,70637
Dalfampridine ER,Dalfampridine,"Micro Labs USA,",,,,,,,2368942.59,200245,5074681.53,493837
Dalfampridine ER,Dalfampridine,Aurobindo Pharm,,,,,4799706.31,241775,29430133.04,2069385,23813463.52,1967805
Dalfampridine ER,Dalfampridine,Ascend Laborato,,,,,4912684.54,245621,34863427.12,2329247,32774662.49,2480094
Dalfampridine ER,Dalfampridine,Sun Pharmaceuti,,,,,,,98829.9,9214,7710937.66,683593
Dalfampridine ER,Dalfampridine,Accord Healthca,,,,,2089572.46,219390,12449312.89,1294791,15019603.17,1527500
Daliresp,Roflumilast,Astrazeneca,125159734.7,12843801,142115016,13206367.95,156387442.1,13259542.5,173569406.2,14173724.5,189731323.4,14996045.03
Dalvance,Dalbavancin HCl,Durata/Allergan,1087016.88,3997.4,2241930.85,20065,2677241.99,14799.5,3732623.91,15036.75,6073007.09,23496.25
Danazol,Danazol,Teva USA,1114184.92,289486,1890674.53,437540,2052670.64,474470,2350341.43,528825,2349071.23,541092
Danazol,Danazol,Lannett Co. Inc,1738516.36,404028,1042091.11,236883,905852.45,215120,734782.11,181167,686900.37,156916
Dantrium,Dantrolene Sodium,Par Pharmaceuti,62205.67,51687,45090.72,39304,35987.26,31651,37987.79,33731,29516.49,25673
Dantrolene Sodium,Dantrolene Sodium,Par Pharm.,330437.59,342393,666221.45,701147,852064.53,958935,875395.13,1019385,779825.68,940645
Dantrolene Sodium,Dantrolene Sodium,Lannett Co. Inc,,,,,,,2848.87,2834,392591.17,413470
Dantrolene Sodium,Dantrolene Sodium,AHP,16796.3,17554,12702.12,12633,5894.07,6487,3638.13,4007,2555.84,2813
Dantrolene Sodium,Dantrolene Sodium,Amneal Pharmace,4333508.25,4372844.4,4174120.86,4141059,3980122.79,4015558,4051268.89,4000649,3723872.35,3727505
Dapsone*,Dapsone,Virtus Pharmace,428901.93,253417,1235759.11,725891,1314600.04,812551.5,845508.7,607088,404389.89,291895
Dapsone*,Dapsone,Taro Pharm USA,,,91671.31,13980,499574.08,79500,442251.08,80580,920415.85,135540
Dapsone*,Dapsone,Seton Pharmaceu,2399568.51,1371644,3452337.21,1994656,3259967.22,1940441,2718849.56,1677306,2715069.59,1884522.5
Dapsone*,Dapsone,Pacific/Greenst,,,47095.17,7350,510621.77,82500,616911.89,116190,539380.97,119940
Dapsone*,Dapsone,Novitium Pharma,,,,,145367.02,93776,2623773.57,1758436,4474782.71,3289922
Dapsone*,Dapsone,Nostrum Laborat,87751.99,41708,626817.64,307461,880753.99,467192,902655.87,535780.5,658201.51,399466.5
Dapsone*,Dapsone,Northstar Rx Ll,,,,,,,26320.5,5010,133318.94,27090
Dapsone*,Dapsone,Marlex Pharm.,,,,,,,1926.4,1010,2443.45,1320
Dapsone*,Dapsone,Major Pharmaceu,,,,,,,,,2347.78,1538
Dapsone*,Dapsone,Jacobus Pharm.,5553045.43,3027822.97,2174809.53,1125684.5,1425067.98,783279.5,1003502.82,578792,683894.32,426961.5
Dapsone*,Dapsone,Alvogen Inc,893118.92,479956,2381599.05,1288567.5,2619003.51,1592363,1484377.02,901612,101428.69,63036
Daptacel DTaP,"Diph,Pertuss(Acell),Tet Ped/PF",Sanofi-Pasteur,8950.57,120,12109.91,144,14917.02,210.5,11395.52,123.5,11951.4,127
Daptomycin,Daptomycin,Xellia Pharmace,,,,,,,23667646.31,81273.4,12723768.78,182596.374
Daptomycin,Daptomycin,Teva Parenteral,4968361.02,57445.772,29266881.34,370789.269,59536552.45,746976.468,42227636.98,523951.048,38357179.25,524005.118
Daptomycin,Daptomycin,Sagent/Novaplus,,,,,,,,,17997.13,328
Daptomycin,Daptomycin,Sagent Pharmace,,,,,1374922.13,30513.956,8865992.23,222084.326,8512037.63,204218.358
Daptomycin,Daptomycin,Northstar Rx Ll,,,,,,,258915,4191,932002.55,7107.65
Daptomycin,Daptomycin,Mylan Instituti,,,,,4022440.47,43382.534,8346015.2,129896.17,5717642.7,151300.698
Daptomycin,Daptomycin,Meitheal Pharma,,,,,,,,,547825.88,8087.7
Daptomycin,Daptomycin,Hospira/Pfizer,,,29688511.57,974290.696,15633369.78,471962.786,1175208.55,9273.49,185871.47,4465.6
Daptomycin,Daptomycin,West-Ward/Hikma,,,,,,,,,817252.87,33174.856
Daptomycin,Daptomycin,Fresenius Kabi/,,,,,1144353.79,22233.512,1348372.65,21503.532,505753.21,9916.972
Daptomycin,Daptomycin,Fresenius Kabi,6187593.73,172159.234,13694748.33,254125.526,33004952.79,599618.93,62288214.03,820823.708,72828349.99,659920.982
Daptomycin,Daptomycin,Dr.Reddy'S Lab,,,,,,,2292938.6,49150.45,1605844.33,39282.33
Daptomycin,Daptomycin,"Civica, Inc.",,,,,,,6899.88,84,93271.53,1262.7
Daptomycin,Daptomycin,"Cipla USA, Inc.",,,,,,,21916.15,135,604245.44,7893.06
Daptomycin,Daptomycin,Bluepoint Labor,,,,,,,70200.14,313,251690.5,864
Daptomycin,Daptomycin,Be Pharmaceutic,,,,,,,136100.77,957.8,8642829.63,82134.082
Daptomycin,Daptomycin,Accord Healthca,,,,,,,2687657.19,45055.731,14734040.95,152329.67
Daraprim,Pyrimethamine,Vyera Pharmaceu,30699634.13,40655,38230100.8,50501,34331732.27,45186,40523868.67,52594,30126638.1,38906
Darifenacin ER,Darifenacin Hydrobromide,Torrent Pharmac,,,929860.7,130801,3733967.46,555343,2996480.6,520215,3439222.34,643119
Darifenacin ER,Darifenacin Hydrobromide,Par Pharm.,9126568.13,1228374,6591201.29,945361,1153543.19,164676,351108.81,56435,301590.13,50797
Darifenacin ER,Darifenacin Hydrobromide,Macleods Pharma,,,,,843634.24,126241,2517582.73,489993,4271168.93,918443
Darifenacin ER,Darifenacin Hydrobromide,Jubilant Cadist,,,,,427569.12,71029,985796.43,173098,100441.22,18504
Darifenacin ER,Darifenacin Hydrobromide,"Cipla USA, Inc.",671428.98,91930.5,5752502.46,842040,7585288.17,1236303.5,5991665.38,1161163.5,4998331.07,1062338
Darifenacin ER,Darifenacin Hydrobromide,Aurobindo Pharm,51453.03,6989,2116059.53,297022,1860838.05,275867,308777.62,49923,9662.9,1680
Darifenacin ER,Darifenacin Hydrobromide,Actavis/Teva,8082869.21,1021603,7267989.91,966051.5,4837162.16,719295.97,2906911.39,492345,859736.06,159233
Darzalex,Daratumumab,Janssen Biotech,5062387.71,55464,7540100.28,77600,11263942.23,108475,15299262.69,140252,20308290.45,178583
Darzalex Faspro,Daratumumab-Hyaluronidase-Fihj,Janssen Biotech,,,,,,,,,5152437.03,9960
Dasetta,Norethindrone-Ethin. Estradiol,Northstar Rx Ll,179705.12,288237,168915.17,293512,127104.53,208950,115837.25,188765,113314.22,177676
Daurismo,Glasdegib Maleate,Pfizer US Pharm,,,,,,,4463999.83,8012,6592362.92,11540
Daypro,Oxaprozin,Pharmaci/Pfizer,184845.46,33311,188241.35,28061,164731.45,21509,134421.29,17750,135134.81,17818
Daysee,L-Norgest/E.Estradiol-E.Estrad,Lupin Pharmaceu,97992.54,59869,117990.59,82865,175742.61,117565,180361.2,121988,145525.23,102154
Daytrana,Methylphenidate,Noven Therapeut,545857.38,53547,487182.66,47923,586107.63,52176,616907.93,49666,659391.27,48541
Dayvigo,Lemborexant,Eisai Inc.,,,,,,,,,1189295.46,126521
Ddavp,Desmopressin (Nonrefrigerated),Ferring Ph Inc,818891.83,10100,841543.23,9730,736770.31,8190,626093.08,6630,344709.97,3585
Ddavp*,Desmopressin Acetate,Ferring Ph Inc*,1489402.7,68056.5,1280872.27,63028,1072177.46,63045.5,900136.36,62690.5,772773.37,59016.5
Deblitane,Norethindrone,Northstar Rx Ll,38593.52,74536,50423.04,100380,53769.39,98140,53119.11,105880,60951.37,111164
Decadron,Dexamethasone,Pragma/Fera Pha,,,,,,,1617.23,1039,708.71,463
Decitabine,Decitabine,Northstar Rx Ll,,,,,,,,,54405.43,86
Decitabine,Decitabine,Dr.Reddy'S Lab,1304659.45,917.6,1007013.42,772,556721.98,464,271248.28,349,159995.08,215
Decitabine,Decitabine,"Cipla USA, Inc.",,,,,,,68137.7,115,40813.62,90
Decitabine,Decitabine,Bluepoint Labor,,,,,,,,,226223.1,192
Decitabine,Decitabine,Accord Healthca,,,133943.31,112,194558.23,165,284240.62,333,146045.2,166
Deferasirox,Deferasirox,Zydus Pharmaceu,,,,,,,1383129.85,14344,20235799.63,272070
Deferasirox,Deferasirox,"Xiromed, LLC",,,,,,,,,7544947.89,114471
Deferasirox,Deferasirox,Teva USA,,,,,,,,,1348004.42,22830
Deferasirox,Deferasirox,Sun Pharmaceuti,,,,,,,,,4189070.3,66029
Deferasirox,Deferasirox,Northstar Rx Ll,,,,,,,,,1472009.52,22746
Deferasirox,Deferasirox,Glenmark Pharma,,,,,,,,,992770.08,14077
Deferasirox,Deferasirox,Dr.Reddy'S Lab,,,,,,,82007.36,1209,9427764.79,171616
Deferasirox,Deferasirox,"Cipla USA, Inc.",,,,,,,,,2506251.15,39588
Deferasirox,Deferasirox,Bionpharma Inc.,,,,,,,,,85106.65,1230
Deferasirox,Deferasirox,Ascend Laborato,,,,,,,,,836023.64,8753
Deferasirox,Deferasirox,Amneal Pharmace,,,,,,,,,711889.4,9072
Deferasirox,Deferasirox,Alembic Pharmac,,,,,,,506151.09,4815,8293577.5,109789
Deferasirox,Deferasirox,Actavis/Teva,,,,,,,18459953.11,169317,10155613.12,127518
Deferoxamine Mesylate,Deferoxamine Mesylate,Hospira/Pfizer,128209.47,6834.571,108641.46,9706.6,29993.23,1100,20673.82,673.052,27010.24,4703
Deferoxamine Mesylate,Deferoxamine Mesylate,App/Fresenius K,77477.93,2329,83637.88,3113.9,116988.92,10835.925,96784.69,3653.718,79466.99,3685.014
Deferoxamine Mesylate,Deferoxamine Mesylate,Apopharma USA I,,,,,,,15766.73,909,4470.15,319
Delestrogen,Estradiol Valerate,Par Pharmaceuti,178404.31,5528,85536.84,2554,568379.16,13827,368538.07,9685.15,271566.24,7682.2
Delstrigo,Doravirine/Lamivu/Tenofov Diso,Merck Sharp & D,,,,,71059.66,1020,2220810.95,31088,5865682.9,77240
Delzicol,Mesalamine,Allergan Inc.,17570242.67,6044456,47521977.02,14939779,48174188.04,13823856,29662683.04,7797572,5536148.21,1491089
Demeclocycline HCl,Demeclocycline HCl,Teva USA,2872433.62,522212.5,1458307.42,302159,296471.14,58885,175169.95,32626,24204.92,3785
Demeclocycline HCl,Demeclocycline HCl,Marlex Pharm.,,,4416.71,1096,7142.33,1446,3265.02,644,5677,1450
Demeclocycline HCl,Demeclocycline HCl,Major Pharmaceu,,,,,31738.08,5822,26342,5115,3100.38,538
Demeclocycline HCl,Demeclocycline HCl,Epic Pharma LLC,1061992.93,179658,2079318.81,363949.5,3959845.14,668070,4225810.92,679780.5,3668883.14,513959
Demeclocycline HCl,Demeclocycline HCl,Amneal Pharmace,5759915.3,1069873,4868095.9,850065,3485256.41,603328,3002318.58,468518.5,3358788.66,522335
Demeclocycline HCl,Demeclocycline HCl,AHP,106183.78,17357,70825.13,12024,29579.74,4871,23001.54,3549,44190.04,6594
Demerol,Meperidine HCl/PF,Hospira/Pfizer,162085.88,41895.5,159570.32,40302.5,77505.48,22436,63031.37,18605,44705.71,12041.5
Demser,Metyrosine,Valeant/Bausch,2033401.7,7551,2891309.39,10368,3245430.11,10948,3200369.3,9233,3068803.44,10238
Denavir,Penciclovir,Prestium/Mylan,13043454.38,87269,10047267.92,65598.5,7318104.62,44901.5,692958.03,4220,36533.55,220
Denavir,Penciclovir,Mylan,,,,,1084022.95,6608,6526072.4,40132.5,6527908.93,40193.5
Denta 5000 Plus,Fluoride (Sodium),Rising Pharm,301630.88,2961432.2,360288.82,3107262.11,375903.04,3302575.2,341235.3,3015528.9,461905.03,4051257.3
Dentagel,Fluoride (Sodium),Rising Pharm,101424.62,1009752.46,109503.73,1072691.76,142180.97,1313025.4,129785.45,1146386.11,128993.58,1129936
Depakote,Divalproex Sodium,Abbvie US LLC,18735151.05,4377979,18174394.77,4023343,17984876.82,3735842,16456782.03,3440592,15805668.54,3322833
Depakote ER,Divalproex Sodium,Abbvie US LLC,21343315.17,4809165,20756190.12,4461376.75,21181806.82,4256480,19701252.53,3956528,19007051,3833074.5
Depakote Sprinkle,Divalproex Sodium,Abbvie US LLC,3731274.65,2490622,3794940.75,2499650,3923955.85,2413978,3852732.16,2381908,3952320.78,2429569
Depen,Penicillamine,Meda/Mylan Spec,4517559.72,76952,4492641.04,74016,1343118.36,22412,212180.32,3496,316613.29,5118
Depo-Estradiol,Estradiol Cypionate,Pharmaci/Pfizer,911739.04,56729.3,1077203.05,57490.2,1191257.19,55867,1119802.08,51673,1209092.93,51112.1
Depo-Medrol,Methylprednisolone Acetate,Pharmaci/Pfizer,179866.76,16421,210430.31,16714.5,174331.85,11835,83197.27,5835.5,47940.31,3422.428
Depo-Medrol,Methylprednisolone Acetate,Pfizer/Novaplus,4103.9,327,2670.89,210,2829.84,201,2591.53,186,1843.74,146
Depo-Provera,Medroxyprogesterone Acetate,Pharmaci/Pfizer,496512.12,3511.332,514595.93,2662,573266.78,2574.833,597989.25,2684,280302.25,1269.5
Depo-Provera,Medroxyprogesterone Acetate,Pfizer US Pharm,47070.88,372,24025.45,156,20120.69,103,18762.09,93,16919.83,87
Depo-Subq Provera 104,Medroxyprogesterone Acetate,Pfizer US Pharm,35091.43,133.3,40550.85,130.2,45771.41,126.2,54869.18,149.85,103121.36,281.15
Depo-Testosterone,Testosterone Cypionate,Pharmaci/Pfizer,1406701.04,96278.3,1199146.82,77633.8,1057913.45,64074.6,881647.38,58502,994668.69,63935.75
Depo-Testosterone,Testosterone Cypionate,Pfizer/Novaplus,6086.38,374,5447.89,311,5393.75,335,9147.19,781,18978.56,2394
Derma-Smoothe-FS,Fluocinolone Acetonide,Royal Pharmaceu,32007.98,14784.72,3691.2,1774.2,4787.19,13246.72,16440.87,49321.84,13724.57,41754.68
Derma-Smoothe-FS,Fluocinolone/Shower Cap,Royal Pharmaceu,114038.5,52393.846,14138.87,6623.12,9625.58,28505.2,39888.3,119478.326,26871.15,87294.68
Dermacea,Gauze Bandage,Covidien/Kendal,,,,,,,,,57.11,5100
Dermotic,Fluocinolone Acetonide Oil,Royal Pharmaceu,39755.32,3160,4162.57,360,9299.25,6200,30573.02,18690,28891.28,20010
Descovy,Emtricitabine/Tenofov Alafenam,Gilead Sciences,90212710.5,1833249,403871651.8,7650389,568689260.2,10077137,524665873.3,8894155,557919939.8,8930463
Desipramine HCl,Desipramine HCl,Sandoz,5063322.97,3191604.001,4178869.47,2193540.5,1566126.02,896406.5,138472.1,81849,112510.42,88456
Desipramine HCl,Desipramine HCl,Ingenus Pharmac,,,,,,,878201.56,542021,1902853.72,1422854
Desipramine HCl,Desipramine HCl,Heritage Pharma,,,637206.54,293763,2484407.45,1285647.5,2862474.82,1743597.5,1542247.03,1169281.5
Desipramine HCl,Desipramine HCl,Ani Pharmaceuti,,,,,,,311671.15,243858.5,230102.26,170671.366
Desipramine HCl,Desipramine HCl,Amneal Pharmace,522345.05,275699,3460512.39,1828016.75,3560769.08,1902175,2866060.81,1548194,2217983.8,1467742.5
Desipramine HCl,Desipramine HCl,Actavis/Teva,5186727.44,3575738,3825182.8,2376160,2717476.26,1803373.5,2054301.46,1365766,1523526.67,1093688
Desloratadine,Desloratadine,Virtus Pharmace,2524824,2617722,1291901.96,1401352,989950.78,941319,812009.57,810461.5,964968.31,1091493
Desloratadine,Desloratadine,Sun Pharmaceuti,355137.35,659022,152900.71,198052,78679.14,87373,57072.79,58472,40225,52818
Desloratadine,Desloratadine,Lupin Pharmaceu,2131957.77,2453927,4862885.49,5680709,6105136.88,6365172,7336037.17,6740642,7004724.96,6738142
Desloratadine,Desloratadine,Dr.Reddy'S Lab,310587.43,79561,286388.63,71627,269298.77,63485,267789.96,62649,295040.09,70712
Desloratadine,Desloratadine,Belcher Pharmac,,,,,,,,,342.41,675
Desmopressin Acetate,Desmopressin (Nonrefrigerated),Zydus Pharmaceu,,,,,,,854809.82,37802,2310002.74,95886.5
Desmopressin Acetate,Desmopressin (Nonrefrigerated),Sun Pharma Glob,1676411.16,75798,130459.31,4695,2128628.75,84457.8,2701303.86,119095,2961653.81,126843
Desmopressin Acetate,Desmopressin (Nonrefrigerated),Amring Pharmace,1058315,50968,3859228.74,165183.167,2798572.36,112633,1984281.47,87942,769874.92,35835
Desmopressin Acetate*,Desmopressin Acetate,Valeant/Bausch,2994290.78,139174.917,2931635.28,135733,2466032.25,106519.8,1727958.83,65630,1456509.83,47111
Desmopressin Acetate*,Desmopressin Acetate,Teva Parenteral,,,,,,,62489.51,1173,196607.18,3837
Desmopressin Acetate*,Desmopressin Acetate,Northstar Rx Ll,,,,,,,228777.17,208770.5,1265605.81,1202985.909
Desmopressin Acetate*,Desmopressin Acetate,Sun Pharmaceuti*,58459.73,2905,21986.8,1075,22960.22,940,36631.48,1030,35964.29,850
Desmopressin Acetate*,Desmopressin Acetate,"KVK-Tech, Inc.",,,,,,,156098.42,174710,1346679.68,1143231
Desmopressin Acetate*,Desmopressin Acetate,Heritage Pharma,,,,,70764.01,55935.5,955156.92,850099.5,2290416.02,1891190
Desmopressin Acetate*,Desmopressin Acetate,Glenmark Pharma,3176117.68,2723366,2592472.95,1938966.5,2680876.59,2096043.75,2698545.93,2112953,2262792.71,1968791
Desmopressin Acetate*,Desmopressin Acetate,Dr.Reddy'S Lab,,,,,,,,,17833.1,520
Desmopressin Acetate*,Desmopressin Acetate,Bluepoint Labor,673063.99,563789.25,738227.82,563358.5,1034723.44,744875.5,992656.86,723185,704382.63,534458.5
Desmopressin Acetate*,Desmopressin Acetate,Avpak,6597.31,7235,5123.5,5636,8362.02,9051,5715.59,5375,326.06,194
Desmopressin Acetate*,Desmopressin Acetate,Apotex Corp,8144.5,7332,3296.6,3488,926131.11,852174,4349199.51,3747372.5,5637710.94,5076838.25
Desmopressin Acetate*,Desmopressin Acetate,Amring Pharmace*,1630216.94,1247372.5,4735075.47,3942928.5,6240766.32,5384570,6165448.98,5454347,3092235.37,2465011.75
Desmopressin Acetate*,Desmopressin Acetate,Actavis/Teva,4651448.9,4036427.024,3905300.38,3514101.09,3487087.18,2765748,1032890.21,824904,727158.14,570791
Desmopressin Acetate*,Desmopressin Acetate,AHP,29010.83,21532,25365.92,19375,16790.42,12288,16179.98,12868.5,2392.82,1935
Desogestr-Eth Estrad Eth Estra,Desog-E.Estradiol/E.Estradiol,Mylan,21821.85,23633,21976.93,26911,35088.59,40237,67451.77,70535,75720.82,76288
Desogestrel-Ethinyl Estradiol,Desogestrel-Ethinyl Estradiol,Mylan,,,4121.94,6356,10359.36,15512,5692.42,10080,1836.41,3220
Desonate,Desonide,Leo Pharma Inc.,,,,,,,72262.37,7140,238454.92,22500
Desonate,Desonide,Bayer Pharm/Leo,752221.83,95996,529365.03,61125,597594.53,62220,366396.39,36330,24650.36,2520
Desonide,Desonide,Zydus Pharmaceu,,,,,,,,,242603.19,122490
Desonide,Desonide,Viona Pharmaceu,,,,,,,,,77008.87,34785
Desonide,Desonide,Teligent Pharma,,,,,,,12850.41,10621,693056.49,599612
Desonide,Desonide,Taro Pharm USA,11174477.22,3889918.492,8542547.76,3072869.883,6806349.15,2660910.245,10263775.85,4104477.91,16638364.16,6923018.68
Desonide,Desonide,Sandoz,2027457.89,752555.47,1768229.01,636753.5,941185.09,401277,445169.95,217047.6,202916.81,101189
Desonide,Desonide,Perrigo Co.,6566275.75,2239440.869,4719944.54,1575101.889,3022163.15,1425854.325,1211840.74,1106958.282,805201.26,750607.85
Desonide,Desonide,Northstar Rx Ll,,,52105.68,17730,1154085.88,386685,1217283.89,532292,1246935.54,644258
Desonide,Desonide,Impax/Amneal,,,,,507149.83,218132,302395.13,144155.666,27446.53,12481
Desonide,Desonide,Glenmark Pharma,,,65356.6,24876,2946418.5,1195033.5,3639236.85,1654812.25,3388879.33,1709343.8
Desonide,Desonide,Fougera/Sandoz,2424564.16,980078.484,1486531.32,588004.377,528604.7,225264,223269.56,105955.3,132091.83,66100.5
Desonide,Desonide,Encube Ethicals,,,,,,,,,1029887.14,669203
Desonide,Desonide,Cosette Pharmac,4470615.9,1422894.4,5238859.02,1770020.615,742438.76,261035.15,551903.77,211827.991,1055462.23,543558.604
Desonide,Desonide,Cintex Services,,,,,,,,,119668.6,15120
Desonide,Desonide,Alembic Pharmac,,,,,,,,,50605,30470
Desonide,Desonide,Akorn Inc.,,,10637.44,4380,72748.89,33307,94033.34,45645,85101.27,51435
Desonide,Desonide,Actavis/Teva,9995265.19,3752656.688,6455679.65,2307240.39,3941407.97,1488669.55,2500789.37,1032637.23,2060340.16,956433.98
Desoximetasone,Desoximetasone,Viona Pharmaceu,,,,,,,,,12375.2,6200
Desoximetasone,Desoximetasone,Zydus Pharmaceu,,,,,,,67193.3,26945,138531.44,72165
Desoximetasone,Desoximetasone,Teligent Pharma,,,,,,,330061.02,81000,1039647.85,298970
Desoximetasone,Desoximetasone,Taro Pharm USA,11691807.95,4269733.82,9117013.39,3139698.323,5600869.27,2244288,4822753.32,2056716.666,3450465.16,1647928
Desoximetasone,Desoximetasone,Perrigo Co.,5202569.89,3544856.677,2981306.23,2253610.376,1955762.79,1592969.076,1698203.13,1445926.68,1575263.27,1400072.24
Desoximetasone,Desoximetasone,Lupin Pharmaceu,,,1106926.56,374683.5,3565989.73,1266804.69,5352248.49,1816761.35,4316040.46,1473903.2
Desoximetasone,Desoximetasone,"IGI Labs, Inc./",113105.71,36856,646620.97,202681,1936115.37,457375,465920.35,140745,169041.41,80185
Desoximetasone,Desoximetasone,Glenmark Pharma,1174169.11,316172.6,830055.43,231225,578246.23,188618,329375.15,136246,156110.45,97740
Desoximetasone,Desoximetasone,Fougera/Sandoz,784942.18,217828,423890,119918,118492.1,41090,14564.43,7710,5044.18,3345
Desoximetasone,Desoximetasone,Actavis/Teva,526902.45,397342,1404720.73,1005478,1240537.81,822249,795688.83,560739,314212.09,228537
Desoxyn,Methamphetamine HCl,Recordati Rare,830156.65,94457,792652.56,72573,844013.13,60070,578414.65,37380,325059.67,18769
Desvenlafaxine ER,Desvenlafaxine,Ranbaxy/Sun Pha,1685873.51,358516.5,1879976.01,388870.5,1547967.33,318751,1597905.44,344429,1803890.31,386131
Desvenlafaxine ER,Desvenlafaxine,Ranbaxy Pharmac,24953.93,5110,11258.5,2371,7867.29,1575,13674.26,2779,10850.27,2337
Desvenlafaxine ER,Desvenlafaxine,Macoven Pharmac,230526.27,30657,495823.12,55777,516094.02,56161,147530.99,16656,6815,802
Desvenlafaxine Succinate ER,Desvenlafaxine Succinate,West-Ward/Hikma,,,5921335.79,1912820,14213817.29,6305501,22088954.73,9732203,23001531.95,11040557
Desvenlafaxine Succinate ER,Desvenlafaxine Succinate,Slate Run Pharm,,,,,,,,,1490159.67,673856
Desvenlafaxine Succinate ER,Desvenlafaxine Succinate,Mylan,,,6133215.3,1749088,2093770.89,936775,221220.29,94420,4517.02,1615
